Player,Squad,Rating,user,player,rating,Nation
Chiquinho,Wolves,2.356890459363957,74,2428,2.3568903999999997,pt
Pierre Højbjerg,Tottenham,3.4057971014492754,31,2193,3.405797,dk
Alex Sandro,Porto,2.7322033898305085,24,1077,2.7322035,br
Jason Denayer,Lyon,2.8496932515337425,59,1319,2.8496932999999998,be
Moise Kean,Juventus,1.1821862348178138,79,790,1.1821861999999999,it
Moise Kean,Juventus,1.1821862348178138,79,790,1.1821861999999999,it
Brahim Díaz,Real Madrid,2.846875,11,1513,2.846875,es
Ludovic Ajorque,Clermont Foot,2.492462311557789,38,2113,2.4924624,re
Geoffrey Kondogbia,Sevilla,2.7265625,85,190,2.7265625,cf
Dimitri Foulquier,Watford,2.4648648648648654,75,915,2.464865,fr
Dimitri Foulquier,Watford,2.4648648648648654,75,915,2.464865,fr
Guido Carrillo,Monaco,1.72,42,697,1.72,ar
Lucas Da Cunha,Clermont Foot,2.809045226130653,38,608,2.8090452999999997,fr
Lucas Da Cunha,Clermont Foot,2.809045226130653,38,608,2.8090452999999997,fr
Fabinho,Monaco,3.2145454545454544,42,1267,3.2145455000000003,br
Andrea Conti,Milan,1.4754716981132074,95,1512,1.4754717,it
Andrea Conti,Milan,1.4754716981132074,95,1512,1.4754717,it
Cristiano Ronaldo,Juventus,2.8016194331983804,79,1075,2.8016195,pt
Cristiano Ronaldo,Juventus,2.8016194331983804,79,1075,2.8016195,pt
Federico Peluso,Atalanta,1.653543307086614,50,2032,1.6535433999999998,it
Mathías Olivera,Getafe,2.664804469273743,8,894,2.6648045,uy
Dennis Geiger,Hoffenheim,3.1555555555555554,12,1019,3.1555555,de
José Luis García Vayá,Tondela,2.831111111111111,104,1218,2.8311112,es
Salis Abdul Samed,Clermont Foot,2.9095477386934667,38,602,2.9095478,gh
Mickaël Cuisance,Marseille,2.415322580645161,58,262,2.4153225,fr
Mickaël Cuisance,Marseille,2.415322580645161,58,262,2.4153225,fr
Filipe Couto,Marítimo,2.3596059113300494,103,2706,2.3596060000000003,pt
Raúl Moro,Lazio,2.3957597173144882,3,1116,2.3957598,es
Marc Cucurella,Chelsea,2.627627627627628,19,460,2.6276276000000003,es
