,Player,Squad,Rating,user,player,rating
5158,Chris Führich,Dortmund,2.826241134751773,48,2144,2.826241
5586,Hugo Duro,Valencia,1.43,9,886,1.43
5642,Rubén Sobrino,Cádiz,2.5364238410596025,26,527,2.536424
938,M'Baye Niang,Montpellier,2.08203125,43,394,2.0820312
60,Mamadou Sylla,Rayo Vallecano,2.1333333333333333,17,25,2.1333334
1240,Martín Cáceres,Barcelona,1.8838028169014085,70,532,1.8838028
5136,Lebo Mothiba,Troyes,1.0993788819875776,35,2129,1.0993788
5720,Antonio Vacca,Venezia,3.052023121387283,97,2333,3.0520232
2120,Borja Mayoral,Real Madrid,2.334375,11,892,2.334375
1524,Jamie Bynoe-Gittens,Dortmund,2.6560283687943262,48,651,2.6560283
153,Bryan Lasme,Arminia,2.0337837837837838,46,68,2.0337837
481,Saúl Ñíguez,Chelsea,2.5255255255255253,19,197,2.5255256
4460,Xavier Chavalerin,Reims,2.2922374429223744,34,1859,2.2922375
3920,Federico Fernández,Getafe,1.8268156424581006,8,1628,1.8268156
1762,Pedrosa,Espanyol,2.6153846153846154,2,761,2.6153846
750,Germán Pezzella,Fiorentina,2.4784313725490197,53,306,2.4784315
1785,Allan,Napoli,2.6058631921824102,77,773,2.605863
4501,Nayef Aguerd,West Ham,2.934065934065934,52,1885,2.9340658
4853,Stefano Sensi,Sampdoria,3.106145251396648,84,1047,3.1061451
2711,Lucas Leiva,Liverpool,2.7181008902077153,69,1114,2.7181008
5532,Paul Jaeckel,Union Berlin,2.3333333333333335,100,2267,2.3333333
4193,Nuno Mendes,Paris S-G,2.9649122807017543,72,1732,2.9649122
1333,Fran Beltrán,Celta Vigo,3.2442396313364057,10,562,3.2442396
6090,Galeno,Portimonense,2.901734104046243,112,2464,2.901734
2854,Corentin Jean,Troyes,2.770186335403727,35,1184,2.7701864
186,Gabriel Dos Santos,Troyes,2.540372670807453,35,82,2.5403726
1136,Ben Mee,Leicester City,2.25,107,488,2.25
2058,Goran Pandev,Napoli,1.8403908794788273,77,868,1.8403909
5733,Serge Aurier,Tottenham,2.8442028985507246,31,2336,2.844203
148,Robin Hack,Hoffenheim,2.5955555555555554,12,64,2.5955555
4124,Javier Ontiveros,Villarreal,2.552123552123552,15,1706,2.5521235
4889,Grégoire Defrel,Sassuolo,2.540650406504065,78,2022,2.5406504
3363,Abdón Prats,Mallorca,2.367021276595745,5,1398,2.3670213
4788,Julian Chabot,Sampdoria,2.6815642458100557,84,1081,2.6815643
2866,Deiver Machado,Lens,2.6826086956521737,37,1187,2.6826086
3776,Gaëtan Laborde,Clermont Foot,2.3467336683417086,38,1566,2.3467336
1386,Jorginho,Hellas Verona,3.185185185185185,80,589,3.1851852
6464,Rui Costa,Portimonense,2.3352601156069364,112,2605,2.3352602
5665,Mattia Caldara,Atalanta,2.1102362204724407,50,2307,2.1102362
3629,Matthieu Udol,Metz,2.9375,45,1506,2.9375
6157,Islam Slimani,Leicester City,2.15,107,1333,2.15
4797,Andrea Conti,Atalanta,1.4960629921259843,50,1512,1.496063
3028,Reinildo Mandava,Lille,2.4076433121019107,32,194,2.4076433
2969,Jeremie Frimpong,Manchester City,2.7266881028938905,4,1231,2.7266881
5947,Maximilian Philipp,Wolfsburg,2.9820627802690582,55,2416,2.9820628
1708,Samuele Ricci,Empoli,2.9565217391304346,101,737,2.9565217
2953,Robert Andrich,Union Berlin,2.7916666666666665,100,1222,2.7916667
454,Héctor Herrera,Atlético Madrid,3.0944206008583692,21,188,3.0944207
609,Luuk de Jong,Barcelona,2.3274647887323945,70,247,2.3274648
4263,Yacine Qasmi,Rayo Vallecano,1.1111111111111112,17,1764,1.1111112
4826,Giangiacomo Magnani,Sassuolo,2.0853658536585367,78,972,2.0853658
5803,Cucho,Mallorca,2.8031914893617023,5,2361,2.8031914
2074,Laurens Serpe,Genoa,2.0987654320987654,51,872,2.0987654
